Stock Symbol      Profit            Buy Price                  Buy Date
         XOM   36.065094  107.77999877929688  2023-11-03 00:00:00-04:00
        META  148.380005   314.6000061035156  2023-11-03 00:00:00-04:00
        COST   98.725922    555.969970703125  2023-11-02 00:00:00-04:00
         PGR   45.083664  158.77000427246094  2023-11-02 00:00:00-04:00
          EA   15.424202  128.27999877929688  2023-11-02 00:00:00-04:00
        GOOG   32.459984              125.75  2023-10-30 00:00:00-04:00
          ZS   44.610016  156.80999755859375  2023-10-30 00:00:00-04:00
         NOC   55.597107  468.67999267578125  2023-10-30 00:00:00-04:00
         CME   44.330536   211.3300018310547  2023-10-30 00:00:00-04:00
         EOG   23.245155  125.44999694824219  2023-10-30 00:00:00-04:00
         SLB   20.150417  56.400001525878906  2023-10-30 00:00:00-04:00
         COP   30.656845  118.13999938964844  2023-10-30 00:00:00-04:00
       GOOGL   30.239998  124.45999908447266  2023-10-30 00:00:00-04:00
         MDB  207.835037  336.29998779296875  2023-10-30 00:00:00-04:00
        AMGN   43.540817  263.19000244140625  2023-10-30 00:00:00-04:00
        SMCI  201.300018   236.6199951171875  2023-10-30 00:00:00-04:00
         LLY  236.893951   565.7100219726562  2023-10-30 00:00:00-04:00
         USO    9.519997   76.05000305175781  2023-10-30 00:00:00-04:00
         XOP   29.940735  143.39999389648438  2023-10-30 00:00:00-04:00
         XLE   24.109543   84.91000366210938  2023-10-30 00:00:00-04:00
        GUSH   15.329006  36.369998931884766  2023-10-30 00:00:00-04:00
        TTWO   44.949989  133.35000610351562  2023-10-30 00:00:00-04:00
        CRWD   37.359978  172.82000732421875  2023-10-27 00:00:00-04:00
        INTU  127.107758   479.5199890136719  2023-10-27 00:00:00-04:00
        PANW   80.440018   238.7899932861328  2023-10-27 00:00:00-04:00
         JNJ   34.539825               525.0  2023-10-24 00:00:00-04:00
         SPY   92.598907                 None                       NaT
         QQQ  101.172302                 None                       NaT
         IWM   89.278442                 None                       NaT
         DIA   17.110229                 None                       NaT
         GLD   26.089966                 None                       NaT
         SLV    7.580000                 None                       NaT
        AAPL   36.479988                 None                       NaT
        AMZN   57.768600                 None                       NaT
        TSLA   83.750000                 None                       NaT
        NVDA  293.455566                 None                       NaT
        MSFT   42.963013                 None                       NaT
         JPM   76.759140                 None                       NaT
         BAC    1.214344                 None                       NaT
         WFC    0.291561                 None                       NaT
           C   72.619003                 None                       NaT
           V    4.242947                 None                       NaT
          MA  126.153961                 None                       NaT
        ADBE  242.110016                 None                       NaT
         CRM   94.029999                 None                       NaT
        NFLX  271.329956                 None                       NaT
         DIS   50.255157                 None                       NaT
          HD    5.290001                 None                       NaT
         MCD   54.344055                 None                       NaT
         NKE   29.814789                 None                       NaT
        SBUX   25.863655                 None                       NaT
          KO    5.241093                 None                       NaT
         PEP   21.917191                 None                       NaT
          PG   24.708267                 None                       NaT
         UNH   14.354126                 None                       NaT
         MRK   33.595528                 None                       NaT
        ABBV   25.507050                 None                       NaT
         CVS   26.125549                 None                       NaT
         WMT    4.802612                 None                       NaT
         TGT   20.016113                 None                       NaT
         LOW   48.431213                 None                       NaT
         TJX   19.869873                 None                       NaT
           M    8.706566                 None                       NaT
         AMT    9.846039                 None                       NaT
         CCI    8.755539                 None                       NaT
         PLD   45.701714                 None                       NaT
         SPG   24.168579                 None                       NaT
        EQIX  340.734314                 None                       NaT
         DLR   11.682121                 None                       NaT
         AVB   17.978348                 None                       NaT
         EQR    4.338112                 None                       NaT
         AIV    2.220022                 None                       NaT
         UDR    8.020256                 None                       NaT
         VTR    4.269722                 None                       NaT
           O    5.747923                 None                       NaT
          WY    5.708096                 None                       NaT
         BXP    9.776188                 None                       NaT
         SLG    8.882553                 None                       NaT
         ARE    0.164808                 None                       NaT
         HST   10.259064                 None                       NaT
         HLT   42.155876                 None                       NaT
         MAR   87.237671                 None                       NaT
           H   14.549999                 None                       NaT
         HGV   45.733162                 None                       NaT
         IHG   25.503662                 None                       NaT
         CCL    4.600001                 None                       NaT
         RCL   31.209991                 None                       NaT
        NCLH    3.290001                 None                       NaT
         LUV    4.389668                 None                       NaT
         UAL   22.450005                 None                       NaT
         DAL   14.449026                 None                       NaT
         AAL    2.939999                 None                       NaT
        JBLU    2.450000                 None                       NaT
         ALK    7.620003                 None                       NaT
        SAVE    0.424606                 None                       NaT
        EXPE   21.789986                 None                       NaT
        BKNG 1595.669922                 None                       NaT
         SIX   11.589998                 None                       NaT
         FUN   22.889992                 None                       NaT
        PLNT    5.875492                 None                       NaT
        SEAS   10.440002                 None                       NaT
         CZR   17.044998                 None                       NaT
         MGM   14.669594                 None                       NaT
        WYNN   70.320351                 None                       NaT
         LVS   16.065910                 None                       NaT
        ROST   34.346802                 None                       NaT
         BBY   17.249367                 None                       NaT
        TSCO   60.221252                 None                       NaT
          DG   27.454697                 None                       NaT
        DLTR    8.580002                 None                       NaT
          KR    2.797150                 None                       NaT
        SOXL   21.058342                 None                       NaT
        TQQQ   24.953835                 None                       NaT
        FNGU  113.350006                 None                       NaT
        SPXL   38.502808                 None                       NaT
        UDOW   33.080524                 None                       NaT
         TNA    8.264854                 None                       NaT
        NUGT   19.412018                 None                       NaT
        JNUG   12.509411                 None                       NaT
         ERX   31.323883                 None                       NaT
         FAS    9.315826                 None                       NaT
         TLT    9.814499                 None                       NaT
         XLF    2.041454                 None                       NaT
         XLU    2.941750                 None                       NaT
         XLK   52.187775                 None                       NaT
         XLI   24.537643                 None                       NaT
         XLB    7.087311                 None                       NaT
         XLP    6.241234                 None                       NaT
         XLV   19.895096                 None                       NaT
         XLY   38.227448                 None                       NaT
         XBI    9.589767                 None                       NaT
         XRT    5.218697                 None                       NaT
         XHB   27.147263                 None                       NaT
         XME   14.502766                 None                       NaT
         XSD   84.732620                 None                       NaT
         XSW   35.751114                 None                       NaT
        XITK   47.365639                 None                       NaT
        XNTK   17.261002                 None                       NaT
        XWEB   44.953529                 None                       NaT
        GLDM    5.749985                 None                       NaT
         AMD   51.860008                 None                       NaT
        INTC   19.056662                 None                       NaT
          MU   36.153473                 None                       NaT
         TXN   31.590427                 None                       NaT
        AVGO  395.067993                 None                       NaT
        AMAT   85.085251                 None                       NaT
         ADP   11.024231                 None                       NaT
        ADSK   24.550003                 None                       NaT
        ASML  306.074158                 None                       NaT
        BIDU  115.820007                 None                       NaT
        BIIB   78.629974                 None                       NaT
