Stock Symbol     Profit            Buy Price                  Buy Date
        PINS   2.199997    26.8700008392334  2023-10-19 00:00:00-04:00
        BOIL   3.309998   60.11000061035156  2023-10-19 00:00:00-04:00
         SLG   5.341564  33.029998779296875  2023-10-19 00:00:00-04:00
        PINS   2.199997   26.84000015258789  2023-10-19 00:00:00-04:00
        SQQQ   0.000000  19.671499252319336  2023-10-19 00:00:00-04:00
        SMCI  16.880005   268.0799865722656  2023-10-19 00:00:00-04:00
          MU   3.843597                68.0  2023-10-19 00:00:00-04:00
          MA  28.938354   387.7250061035156  2023-10-19 00:00:00-04:00
         CAT  33.109421   259.2200012207031  2023-10-18 00:00:00-04:00
        JBHT  14.476822   178.6699981689453  2023-10-18 00:00:00-04:00
        INTC   2.759998   35.63999938964844  2023-10-18 00:00:00-04:00
        NVDA  86.872894   421.9599914550781  2023-10-18 00:00:00-04:00
         XME   5.369133   50.63999938964844  2023-10-18 00:00:00-04:00
        JDST   0.433244   7.360000133514404  2023-10-13 00:00:00-04:00
        SDOW   0.000000  25.829999923706055  2023-10-13 00:00:00-04:00
        SPXS   0.000000  15.399999618530273  2023-10-13 00:00:00-04:00
        BKNG 470.040039      2950.080078125  2023-10-13 00:00:00-04:00
         FAZ   0.000000  20.059999465942383  2023-10-13 00:00:00-04:00
         TZA   1.970058  31.329999923706055  2023-10-10 00:00:00-04:00
         SPY   3.896240                 None                       NaT
         QQQ   3.215363                 None                       NaT
         IWM   0.000000                 None                       NaT
         DIA   5.184631                 None                       NaT
         GLD   0.000000                 None                       NaT
         SLV   0.000000                 None                       NaT
        AAPL   5.722275                 None                       NaT
        AMZN  15.710007                 None                       NaT
        GOOG  22.800003                 None                       NaT
        META  31.590027                 None                       NaT
        TSLA   2.199982                 None                       NaT
        MSFT   2.165436                 None                       NaT
         JPM   0.000000                 None                       NaT
         BAC   0.000000                 None                       NaT
         WFC   0.803711                 None                       NaT
           C   0.000000                 None                       NaT
           V  14.493118                 None                       NaT
        PYPL   0.000000                 None                       NaT
        ADBE  95.890015                 None                       NaT
         CRM   0.000000                 None                       NaT
        NFLX   9.760010                 None                       NaT
         DIS   0.000000                 None                       NaT
          HD  17.120728                 None                       NaT
         MCD   2.237976                 None                       NaT
         NKE   6.368637                 None                       NaT
        SBUX   2.827034                 None                       NaT
          KO   0.000000                 None                       NaT
         PEP   5.004791                 None                       NaT
          PG   5.905334                 None                       NaT
         JNJ   0.000000                 None                       NaT
         UNH   5.877136                 None                       NaT
         PFE   0.000000                 None                       NaT
         MRK   0.000000                 None                       NaT
        ABBV   8.472198                 None                       NaT
         CVS   0.689995                 None                       NaT
         WMT   9.619202                 None                       NaT
         TGT   2.468826                 None                       NaT
        COST  41.204529                 None                       NaT
         LOW  12.620010                 None                       NaT
          HD  17.120728                 None                       NaT
         TJX   6.386383                 None                       NaT
           M   0.522304                 None                       NaT
         AMT   0.000000                 None                       NaT
         CCI   0.000000                 None                       NaT
         PLD   0.000000                 None                       NaT
         SPG   0.777031                 None                       NaT
        EQIX   0.000000                 None                       NaT
         DLR  10.344948                 None                       NaT
         PSA  -0.811188                 None                       NaT
         AVB   0.000000                 None                       NaT
         EQR  -0.553818                 None                       NaT
         AIV   0.000000                 None                       NaT
         UDR   0.345882                 None                       NaT
         VTR   0.603497                 None                       NaT
           O   0.000000                 None                       NaT
          WY   0.957645                 None                       NaT
         BXP   9.204182                 None                       NaT
         ARE   0.000000                 None                       NaT
         HST   0.741583                 None                       NaT
         HLT  14.810272                 None                       NaT
         MAR  22.970016                 None                       NaT
           H   0.029953                 None                       NaT
         HGV   0.000000                 None                       NaT
         IHG   7.465477                 None                       NaT
         CCL   0.990000                 None                       NaT
         RCL  10.919998                 None                       NaT
        NCLH   0.520000                 None                       NaT
         LUV   0.606499                 None                       NaT
         UAL   3.239998                 None                       NaT
         DAL   2.842041                 None                       NaT
         AAL   0.000000                 None                       NaT
        JBLU   0.309999                 None                       NaT
         ALK   2.270000                 None                       NaT
        SAVE   0.000000                 None                       NaT
        EXPE   5.079994                 None                       NaT
        TRIP   0.000000                 None                       NaT
         LYV   0.000000                 None                       NaT
         SIX   0.000000                 None                       NaT
         FUN   0.330002                 None                       NaT
        PLNT   1.570000                 None                       NaT
        SEAS   0.000000                 None                       NaT
         CZR   1.049999                 None                       NaT
         MGM   0.599998                 None                       NaT
        WYNN   8.866539                 None                       NaT
         LVS   0.817169                 None                       NaT
         TGT   2.468826                 None                       NaT
         WMT   9.619202                 None                       NaT
        COST  41.204529                 None                       NaT
          HD  17.120728                 None                       NaT
         LOW  12.620010                 None                       NaT
         TJX   6.386383                 None                       NaT
        ROST  15.287849                 None                       NaT
         BBY   9.015862                 None                       NaT
        TSCO  13.663162                 None                       NaT
          DG   0.000000                 None                       NaT
        DLTR   0.000000                 None                       NaT
          KR   1.938450                 None                       NaT
        SOXL   2.565744                 None                       NaT
        SOXS   1.190001                 None                       NaT
        TQQQ   0.637756                 None                       NaT
        FNGU  16.910004                 None                       NaT
